id,name,price_level,rating,image_reference,latitude,longitude
ChIJe30EeP1vcVMRhbZcLGFdVUk,Fairmont Palliser,,4.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHpS9fFE9JXeJTAE4pV_gRdeiAw8wUbkDfVkL-n2b4BF_xhMlkTPDIFjnXBGR_fAhPYrQoTa4AIQDYqn0zqdOspAa8EAdOfdySF8ed0bSZoPVY2uKqP7Yhoub4unvGPQMRkB3UD_14VXEcG4oldQGW560qcSn8L4qNx3PBooG8vlrLNS-xSzgVbupLzam5K-OrK97gb9aJbTXRZO68oLlFjNz1ruav7qhO6U0A8m2iwisKEQX7_mT8TPnHl0Mq7BUSy0Vu8hiTtZ-dAJiQ-rnmVH5vhZRRZH3AJT3CcQkt14FrURgJoQaC_41bv7uFfmMIw4khBw8eY,51.04433359999999,-114.0649605
ChIJtaQjdftvcVMRgBA5-0sfRB0,The Keg Steakhouse + Bar - 4th Ave,3,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHrVMHX39nq7LKHK_rkgFVW_G1DISswIwDaFeV_4k77XF1lsS2WH9QYgDx66q3oLbnUXhoJz7QbaGNYJIYm69izjv5af-OVlwdUn4MWDl27KnF90eOeW2Y53rFZA7z72jrKdbd9V-UGRbIah9LtXSq3NX9ywhPM_L-AgAhPfODzOGzpzuGPnO6oFFA3G5MeKQvIoVhkS68qJ_8Ea6p3peNjco7WwQFYJZcYcwvm60dDBKo2w8t3mzk-9LI4uKOMLUv5WjXrBd4qfmmDqmyLTHlFPUSqtJwH5tYmT2cqMSJw9zTC30kc1x7Lyo8PFKFrqiNSx2K4GNr9SwSbMdDgSK6Qg5rJQ2RIdaUsI7qvE8PlJPrWZFhHVPC-3V2t8lZT6V6I3IeYmacqcJKgluc4pkabL8xgnVbGnqEMwCwhlxgzZ1jxoIzkxbOBSQbJDNj0t8f7Dgu8bWuQtsxw3gTjY8MUHlCH1h6FwJDcasiFv9RegAxThCKWTUkSn5oF-Pyh0JRUyREFybP6MoROzLm1VKtQ_3b6GiLDyVhfprKXxLR2A7cITNSBoQmWgLdGrSbiLTgfrqCJqx_lUk7INmSs5wXZlk5Ybkh0VuvPq84dLJCSAbeoWQ4xYIg5rZALeE4nowAT3_g,51.0496138,-114.0690093
ChIJITgXvv1vcVMRNv7eusdftms,Annabelle's Kitchen Downtown,3,4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHo7Di2qdKnZRrYzxw-HbcGTq4_nrnos_33kWkHbJiqsgdaXfaWM9_-4AuQKm-ya5tD462rrAutgKJcaPKE6hNfvV2WfkCyN33XZBF8ty-Nqndjt-YFcA3_3_cHZ4EtjI0jQEQiHMGxXjPIhL7LIAczYnU1fvQaO9g62Ff6TINc208ZsSLo2aJva1cjY5QACg3Kcryw-e0T4xnkMUzs3_nRW9KGeEPdP59_95yfv5drG3ie5j4sNgV4rIG3qEasIkzzqWogp0r8Dz9CM2UpYAu-ZBiQMwM9EEBfpVANDu8hGhte50uIqWVuyvAkfHHynNK415B_tdjb4Y1h-9a216mAGcM3ZKrR2O9cqgrDq3XZYOTbjixMWkC_DeWUCXmiOtOqFnyp3JrApVWeneKaEZvag8MWw2_nDEsXd22XhZsBfJsM1pK-_nh9gF89qpFMw4S2u-o3cxTOnFnZhVi_DaRtywdImBYKPrFI4KXpQcQcdXnuk-QUVqOsf52Jdn1sBymxDS_ubKKa-6xW3lZAg4RMcheRdixfKWiHMhB9QaB2ABtptF4Af6kuCSBwoZj5EDDsoAYj4hUelgXUjVVTs36AuYZWOEXlhSsGrakYs73EwMfRCldAD0781SCOclbSFKqmacfl6,51.0454301,-114.0638026
ChIJ2R7QV-RvcVMRmMTHdFL5d2A,Sushi Hiro Japanese Restaurant,2,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHrUC5-Z9PuTIzSA6iXXU42tDBbqYgd8pjQaNVPfO2jiNLVVup6MlwlGBYibVLCJectT8l6oTK9hGY9OsWsPqwh8vlq9NHQtCEC5wY-kZvlmMkO7EkhdXzuFim5O5YHF9DXv0MSqDSx3jM8tVTXC889VUbjzm7xFa7S2A_-5rTiNvGovylIC9yX9pWoidh04-F4Mh6y4E_erXAqXwXRIvsUfxO2o9TzC-Z1YVAtexe9X6Ty3qRwUvVLUh1hDD0bv4SQK1wyqrgucUwxTC5DaqSu9ePlr5Dd6t9EHXKKgAFtVeORBik4el4bPy5qN4pNVbFHm2ifSBocSJE3FTvBm5p5UFSopzOFPbCA3zS_KS1z2SUb6cWHRDhLLBKq5PRST5FjYek70Icn8Zvf-HKJXgFHsbukjs-RQilibyhh5wFt9ilj6DwGHn8PzGXlPYcJngIlUwoqzJXwaboZYEJPNLnKR-UNhVo1Xr33bnbJ0QYB9xkaltkUyrouzy35SXStFItttwcWtCiKlmx-rMhEi27igUa4fCGoXLbbAqC-wW8Ee5EBrkjrW0efeSe3RjI-lCLb-BiI6yTZxzrz__AfKZDoH3yGO_DsJk6OZOh1emExThePw4RRQ4XpNBG7Eh3w2,51.04866089999999,-114.0777422
ChIJnfR_Gf5vcVMRgeFBtA8Z3hc,Teatro Ristorante,4,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHpkADXJ5rCYJYbLNhAMPSAqNpj96LvontVwKTD6Ntq1tHKWas1PuYtGsUMJSa5OqT9r2JfNqoikFpVGqV02UzuxwUVSLJU-8Gqcd9XEpfJ5JpvfNNuhR9zukeDRcJZrVdfNvvXqKXsCwKAVCUCdDqIZdRImyW2NZGIHha1Sc1dZvkyhDhL_KOJ_UUUjbSlyVcMtWewyEkFA49M90gTbUundv3WtOgt8MvfEDWS51BjGPBc87UYgRP305KC_aRXSbPFVM2iAWFqf0YP5yGPnv-8hjvCQnitRv-EQ49c2y-Ffivjl3KwTTicDrSBESS8A7HGk5xc-nic,51.0456255,-114.0603583
ChIJR3rB6f1vcVMRObhrPxRBuR0,Saltlik,3,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHqB3gkIV9iEVTiM_LEkHmxpw0ScP9IqcSMy9FhVPuaXLibvYSD4mvp6wo5OQxBDb-CZWEVUQtuwxZDkEpxZ6emGJOOdzjeMH69qUywWIMgdP50ltmkdNywkxQYC3xOaQjWnwrMwUECVcK2ea6lsaVXPi2hJkFuhREbqA4TRQRSly1E-4q2w0D0An-W3B-vgf9mRPrU1wUtdo8Khnb2WaOrxWXTb9FdOLpUcOlIiHTogz6trEqRt2btz9rkntOSX7Z2rRkcLi_BjZJHmrbHy0JVF8-bWrkcUfsPPON1LWTKehktsGkd98ap3pY0XrkQR2cdJeyFgVFyGs2UUkqMKRTfAUJBWPhYyJhdCygDZ3ebK0EDvHdn41ZRz6PTWSKRmpZZf355xr5KfpWL0-R-KbebThEH2KQEStoO1nKyRdVK1XpFGBowbJAzI90gnQY0RN4P3BauyiLwgPzwTXAV26aIfEWG7l4fp-1tma_-RhicPRQ6F_fs11cNRrGxh5iQt495YcEMicnYvXH6x_EAASPQ3Mfh506JoV2bu8t4R0ORUA9BB5S8d1KK9oupSX3I2H5byiE_j66pdP8IdRamt3lXRO1gGYwV81CJJY1wXgYgLZAc5DfFyjor7hNVORJa38hkaAPum,51.0452993,-114.0633359
ChIJD21SBP1vcVMRbSC5Y-I7hXw,The Unicorn,2,4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AZLasHq26vT04v7siZfJT8QBJiTpnY3jnQXcWnNVZo_V2rZ_DcHTV25BScdVDOty669utjW2898Y5_DYe0qjmzFt_LdHQ0eQakOPOSlGnDeowuspX0inJbsPGoCAu1V2yRr5WIYpdro9LMGd7apWbLmzOMKdzRGeVrtjVY7UdmwNni4_h35OqPd8Ae73hVYnfK9ORMb6D8KbEbb-9Fs63-dhrVCW__voIWdXeEUvkmdnkke9sLAvhtBDR6e-j6JmEt7xuGcOqqUgzvzO_V89xVXZj83ASn7SsNOquE07Ci4Ca2DN-D6PYHbvt6jRkrL1MG_HVjn5pHGVmQ5tb3IlLCy-IEf4YK6GVR34E9WOejwrVva86ZesMRHQOZTRekQE1RNMLYn5FhfoIzJNGMM_dm5QqufRywXVJZO08u13pQOJmfCBHzEjJQFvSPKKaNnzRlZYblmbHAoL5kHDVrUP-hHWLFvV-HBwX9ZQK0UHI_j5CTcoo7OmVK3oJvxDK4HVyw_omea2PTnAJtHES6zEYvJB9qCR1I6S_2vRwWDPcuCboLteSXV6MdznBGuxPNnJ8M6yQ726Cg0yzB4i0vPtabWoI1f0yTFYuPbb7uIW4G2-ANEByKLQJvzjD13NZdRV3E50C1343pTlLT9JgG16wwDEYUMvumU,51.045526,-114.0668368
